City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Kavaratti,IN,2021-09-25 06:08:19,10.5669,72.642,82.18,77,93,14.76
95,East London,ZA,2021-09-25 06:07:36,-33.0153,27.9116,63.54,67,0,6.91
96,Mount Gambier,AU,2021-09-25 06:08:20,-37.8333,140.7667,52.77,50,74,8.84
97,Atambua,ID,2021-09-25 06:08:20,-9.1061,124.8925,83.08,52,19,3.15
98,Bratsk,RU,2021-09-25 06:08:21,56.1325,101.6142,37.89,65,93,4.05
99,Rudbar,AF,2021-09-25 06:08:21,30.15,62.6,89.78,9,0,6.42
100,Vaini,TO,2021-09-25 06:08:22,-21.2,-175.2,69.96,83,40,10.36
101,Chuy,UY,2021-09-25 06:08:23,-33.6971,-53.4616,55.45,97,47,5.86
102,San Jose,US,2021-09-25 06:07:35,37.3394,-121.895,67.96,80,75,5.75
103,Cascais,PT,2021-09-25 06:08:23,38.6979,-9.4215,65.55,79,4,1.01
104,Amga,RU,2021-09-25 06:08:24,60.8953,131.9608,45.16,59,100,7.29
105,Mahebourg,MU,2021-09-25 06:08:24,-20.4081,57.7,77.25,68,67,19.01
106,Port Hardy,CA,2021-09-25 06:08:25,50.6996,-127.4199,52.39,92,100,4.99
107,Guerrero Negro,MX,2021-09-25 06:08:25,27.9769,-114.0611,70.52,79,100,12.97
108,Lima,PE,2021-09-25 06:07:26,-12.0432,-77.0282,59.4,87,90,10.36
109,Yar-Sale,RU,2021-09-25 06:08:26,66.8333,70.8333,40.78,62,19,9.26
110,Vao,NC,2021-09-25 06:06:18,-22.6667,167.4833,68.05,65,18,11.45
111,Oranjemund,NA,2021-09-25 06:08:26,-28.55,16.4333,56.82,84,39,6.91
112,Makakilo City,US,2021-09-25 06:07:29,21.3469,-158.0858,73.72,86,75,6.91
113,Camacha,PT,2021-09-25 06:08:27,33.0833,-16.3333,63.82,77,20,3.44
114,Faanui,PF,2021-09-25 06:08:27,-16.4833,-151.75,77.83,66,3,4.23
115,Kui Buri,TH,2021-09-25 06:08:28,12.0828,99.8543,80.06,82,100,6.53
116,Tautira,PF,2021-09-25 06:08:29,-17.7333,-149.15,78.82,68,11,1.95
117,Kanor,IN,2021-09-25 06:08:29,24.4333,74.2667,86.36,69,23,7.96
118,Pevek,RU,2021-09-25 06:08:30,69.7008,170.3133,28.29,90,100,15.95
119,Cabo San Lucas,MX,2021-09-25 06:08:30,22.8909,-109.9124,83.52,80,1,8.77
120,Salalah,OM,2021-09-25 06:08:31,17.0151,54.0924,86.09,70,20,8.05
121,Hithadhoo,MV,2021-09-25 06:08:31,-0.6,73.0833,83.3,72,99,11.68
122,Benjamin Constant,BR,2021-09-25 06:08:32,-4.3831,-70.0311,71.73,99,100,2.33
123,Sioux Lookout,CA,2021-09-25 06:03:37,50.1001,-91.917,46.78,93,90,5.75
124,Karasjok,NO,2021-09-25 06:08:32,69.4719,25.5112,44.71,92,97,15.93
125,Berlevag,NO,2021-09-25 06:08:33,70.8578,29.0864,46.15,91,100,10.6
126,Beringovskiy,RU,2021-09-25 06:08:34,63.05,179.3167,33.42,77,100,20.18
127,Acapulco,MX,2021-09-25 06:04:34,16.8634,-99.8901,79.83,87,100,2.64
128,Montepuez,MZ,2021-09-25 06:08:34,-13.1256,38.9997,75.65,56,67,8.21
129,Avera,US,2021-09-25 06:08:35,33.194,-82.5271,58.71,61,0,4.12
130,Abalak,RU,2021-09-25 06:08:35,58.1286,68.5944,48.43,57,6,6.73
131,Laguna,US,2021-09-25 06:08:35,38.421,-121.4238,80.44,54,1,3.0
132,Pangnirtung,CA,2021-09-25 06:08:36,66.1451,-65.7125,31.68,48,37,3.98
133,Souillac,MU,2021-09-25 06:08:36,-20.5167,57.5167,77.36,69,64,18.05
134,Dunedin,NZ,2021-09-25 06:08:37,-45.8742,170.5036,51.44,58,16,18.01
135,Butia,BR,2021-09-25 06:08:37,-30.1197,-51.9622,54.16,92,65,2.64
136,Luwuk,ID,2021-09-25 06:07:21,-0.9516,122.7875,84.16,73,55,6.17
